GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.openclassrooms.mdd_api.controller,AuthController,0,12,0,0,0,2,0,2,0,2
,com.openclassrooms.mdd_api.controller,PostController,0,28,0,0,0,4,0,4,0,4
,com.openclassrooms.mdd_api.controller,UserController,0,13,0,0,0,2,0,2,0,2
,com.openclassrooms.mdd_api.controller,TopicController,0,26,0,0,0,5,0,3,0,3
,com.openclassrooms.mdd_api,MddApiApplication,5,3,0,0,2,1,1,1,1,1
,com.openclassrooms.mdd_api.service,UserService,0,86,0,14,0,13,0,9,0,2
,com.openclassrooms.mdd_api.service,AuthService,0,122,0,6,0,19,0,7,0,4
,com.openclassrooms.mdd_api.service,PostService,0,210,0,4,0,61,0,12,0,10
,com.openclassrooms.mdd_api.service,JwtService,0,32,0,0,0,10,0,3,0,3
,com.openclassrooms.mdd_api.service,TopicService,0,109,0,2,0,22,0,9,0,8
,com.openclassrooms.mdd_api.config,JwtAuthenticationFilter,1,52,3,5,1,15,3,3,0,2
,com.openclassrooms.mdd_api.config,SecurityConfig,0,54,0,0,0,10,0,5,0,5
,com.openclassrooms.mdd_api.exception,GlobalExceptionHandler,9,37,1,1,2,8,2,4,1,4
,com.openclassrooms.mdd_api.dto,PostDetailResponse,0,24,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,UserResponse,0,12,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,TopicResponse,0,15,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,AuthResponse,0,9,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,CommentResponse,0,15,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,PostSummaryResponse,0,21,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,AuthResponse.UserInfo,0,12,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,RegisterRequest,0,12,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,UpdateProfileRequest,0,12,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,CreatePostRequest,0,12,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
,com.openclassrooms.mdd_api.dto,CreateCommentRequest,0,6,0,0,0,1,0,1,0,1
